node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1098,Wall,2BB3E9FC-7554-4E63-8111-7E6520B8625B,1.02,0.10,3.80,DRYWALL,0,-17.16,3.58,0.0,-16.15,3.9,3.8,,,,,,,,,,
1099,Wall,C07A1BD8-7A2D-2214-6605-463F6BF0D644,2.00,0.10,3.80,DRYWALL,0,-37.9,-22.91,0.0,-35.93,-22.37,3.8,69C41FFB-A65A-0CE5-F8CB-356946E9E97E,,,,,,,,,
1100,Wall,CFDC044F-B9BA-CACB-E0CB-5FE6E994504A,2.00,0.10,3.80,DRYWALL,0,-37.43,-25.0,0.0,-35.45,-24.46,3.8,AF08A8EE-F574-4320-5FF7-193C24D9CE6E,,,,,,,,,
1101,Wall,CA14E579-EAA6-489C-80F6-7E8C42255F3A,2.05,0.10,3.80,DRYWALL,0,-37.97,-24.92,0.0,-37.43,-22.91,3.8,,,,,,,,,,
1102,Wall,B9922312-ECC8-491C-A2FE-C1A5E4D63F79,1.02,0.10,3.00,DRYWALL,0,-7.07,9.37,4.0,-6.05,9.69,7.0,,,,,,,,,,
1103,Wall,17852B47-5F0B-4EB4-92A4-2BAE9F1A85DE,2.00,0.10,3.00,DRYWALL,0,-6.52,9.69,4.0,-5.98,11.66,7.0,93AD1918-9388-49B0-8C89-A79360277F5F,,,,,,,,,
1104,Wall,F4769174-3669-4876-8429-3761853B77B4,7.65,0.10,3.00,DRYWALL,0,-47.7,-13.66,4.0,-45.92,-6.18,7.0,4D2EBE24-1A38-4403-B078-305B6C3BBC2D,,,,,,,,,
1105,Wall,374EC217-4418-4E35-B4BC-D0129DF6DCBD,2.00,0.10,3.00,DRYWALL,0,-48.46,-12.02,4.0,-46.49,-11.49,7.0,21EE8B8F-1BB3-4C34-9626-FC77F46E1196,,,,,,,,,
1106,Wall,78390769-EA55-4345-A307-6ADDE47ADA8F,2.13,0.10,3.00,DRYWALL,0,-48.53,-14.12,4.0,-47.96,-12.02,7.0,,,,,,,,,,
1107,Wall,2E0EDEE4-0869-470D-A4EA-ED61F89CCDC7,2.00,0.10,3.00,DRYWALL,0,-46.41,-11.56,4.0,-44.44,-11.03,7.0,6868D2A7-D916-46AC-B633-89E7132614DB,,,,,,,,,
1108,Wall,EB4ACEDE-D859-42AF-A85E-AA9B92274F96,2.04,0.10,3.00,DRYWALL,0,-44.44,-13.11,4.0,-43.9,-11.1,7.0,,,,,,,,,,
1109,Wall,89EADBA7-CF01-4EA9-96E7-3DBF062A89C3,15.31,0.26,3.20,PAREDE 37cm,0,-6.24,5.52,4.0,8.75,9.15,7.2,CA53F330-FDA6-4793-B8FB-6D0260B48AA5,,,,,,,,,
1110,Wall,F56A8049-2702-49D9-82E9-B9FEE0F8BA5C,2.00,0.10,3.00,DRYWALL,0,-16.53,3.54,4.0,-15.99,5.51,7.0,D09A67AB-D380-40CF-85DC-C9CEE8D49736,,,,,,,,,
1111,Wall,AC6EA2EA-81A5-49B4-AEEA-1F466D241ABB,0.89,0.10,3.00,DRYWALL,0,-17.42,5.3,4.0,-16.53,5.59,7.0,,,,,,,,,,
1112,Wall,8A0E8034-EDB9-49D9-90FC-4C2DCA6FC9BF,3.87,0.10,3.00,DRYWALL,0,-17.88,3.2,4.0,-16.93,6.99,7.0,4D30B5E5-4581-4AAD-91D9-283FB173E6AB,,,,,,,,,
1113,Wall,7F7AF82E-21ED-4606-9186-C46738AA30B4,1.02,0.10,3.00,DRYWALL,0,-7.54,11.41,4.0,-6.52,11.73,7.0,,,,,,,,,,
1114,Wall,56B3A73D-353D-4E69-9F90-6C53DB468930,0.31,0.10,3.00,DRYWALL,0,-6.58,11.64,4.0,-6.42,11.96,7.0,,,,,,,,,,
1115,Wall,07C2E4D9-A105-4983-A7D2-7FE06EC865E7,2.00,0.10,3.00,DRYWALL,0,-47.99,-14.1,4.0,-46.01,-13.57,7.0,762E8439-EA71-4817-9844-7010F7280EED,,,,,,,,,
1116,Wall,0589DEEC-71AE-48E2-B276-E13872BA19ED,2.00,0.10,3.00,DRYWALL,0,-45.94,-13.64,4.0,-43.97,-13.11,7.0,D77A0DAB-C587-46AF-ABB6-2766DAF9C89A,,,,,,,,,
1117,Wall,5ADD0DFA-DA4A-497E-9195-55FEF3C27CA9,1.08,0.10,3.00,DRYWALL,0,-49.04,-14.34,4.0,-47.96,-14.01,7.0,,,,,,,,,,
